ID;Label
D2-101;Human
D2-102;Anthropic
D2-103;Human
D2-104;Anthropic
D2-105;Anthropic
D2-106;Anthropic
D2-107;Human
D2-108;Human
D2-109;Anthropic
D2-110;Human
D2-111;Human
D2-112;Anthropic
D2-113;Human
D2-114;Anthropic
D2-115;Human
D2-116;Google
D2-117;Anthropic
D2-118;Anthropic
D2-119;Human
D2-120;Human
D2-121;Human
D2-122;Human
D2-123;OpenAI
D2-124;Human
D2-125;OpenAI
D2-126;Human
D2-127;Human
D2-128;Anthropic
D2-129;Human
D2-130;Human
D2-131;Human
D2-132;OpenAI
D2-133;Anthropic
D2-134;OpenAI
D2-135;Anthropic
D2-136;Human
D2-137;Human
D2-138;Human
D2-139;Meta
D2-140;Meta
D2-141;Meta
D2-142;Human
D2-143;Human
D2-144;Human
D2-145;Human
D2-146;Human
D2-147;Human
D2-148;Human
D2-149;Human
D2-150;Anthropic
D3-1;Anthropic
D3-2;Human
D3-3;Anthropic
D3-4;Human
D3-5;Anthropic
D3-6;Human
D3-7;Human
D3-8;Google
D3-9;OpenAI
D3-10;Human
D3-11;Human
D3-12;Google
D3-13;Anthropic
D3-14;OpenAI
D3-15;Anthropic
D3-16;Human
D3-17;Human
D3-18;Anthropic
D3-19;Human
D3-20;Anthropic
D3-21;Human
D3-22;Google
D3-23;Anthropic
D3-24;Human
D3-25;Human
D3-26;Human
D3-27;Human
D3-28;Anthropic
D3-29;OpenAI
D3-30;Anthropic
D3-31;Meta
D3-32;Google
D3-33;Human
D3-34;Human
D3-35;Human
D3-36;Human
D3-37;Human
D3-38;Anthropic
D3-39;Human
D3-40;OpenAI
D3-41;OpenAI
D3-42;Human
D3-43;OpenAI
D3-44;Human
D3-45;Anthropic
D3-46;Human
D3-47;Anthropic
D3-48;Anthropic
D3-49;Human
D3-50;OpenAI
D3-51;Human
D3-52;Anthropic
D3-53;Anthropic
D3-54;Human
D3-55;Human
D3-56;OpenAI
D3-57;Anthropic
D3-58;Human
D3-59;Meta
D3-60;Anthropic
D3-61;Human
D3-62;Human
D3-63;Human
D3-64;Human
D3-65;Meta
D3-66;Human
D3-67;OpenAI
D3-68;Human
D3-69;Human
D3-70;Meta
D3-71;OpenAI
D3-72;Anthropic
D3-73;Anthropic
D3-74;Anthropic
D3-75;Anthropic
D3-76;Anthropic
D3-77;Human
D3-78;Anthropic
D3-79;Human
D3-80;Human
D3-81;Anthropic
D3-82;Human
D3-83;Human
D3-84;Human
D3-85;Human
D3-86;Human
D3-87;Meta
D3-88;Human
D3-89;Google
D3-90;Google
D3-91;Anthropic
D3-92;Human
D3-93;Human
D3-94;Human
D3-95;Human
D3-96;Human
D3-97;Meta
D3-98;Anthropic
D3-99;Human
D3-100;Human
