ID;Label
D2-126;Human
D2-127;Human
D2-128;OpenAI
D2-129;Meta
D2-130;Meta
D2-131;Meta
D2-132;Human
D2-133;Anthropic
D2-134;OpenAI
D2-135;Google
D2-136;OpenAI
D2-137;Meta
D2-138;Human
D2-139;Human
D2-140;OpenAI
D2-141;Meta
D2-142;Human
D2-143;OpenAI
D2-144;OpenAI
D2-145;Meta
D2-146;Human
D2-147;Meta
D2-148;OpenAI
D2-149;Human
D2-150;Google
D3-76;Anthropic
D3-77;Human
D3-78;Meta
D3-79;Meta
D3-80;Meta
D3-81;Google
D3-82;Google
D3-83;Meta
D3-84;OpenAI
D3-85;Human
D3-86;Human
D3-87;OpenAI
D3-88;Meta
D3-89;Anthropic
D3-90;Google
D3-91;Google
D3-92;Meta
D3-93;Human
D3-94;OpenAI
D3-95;Human
D3-96;OpenAI
D3-97;Meta
D3-98;Google
D3-99;OpenAI
D3-100;Meta
D4-1;OpenAI
D4-2;OpenAI
D4-3;Google
D4-4;Meta
D4-5;OpenAI
D4-6;OpenAI
D4-7;OpenAI
D4-8;Meta
D4-9;Human
D4-10;OpenAI
D4-11;Google
D4-12;Google
D4-13;Meta
D4-14;Human
D4-15;OpenAI
D4-16;OpenAI
D4-17;Google
D4-18;Human
D4-19;Meta
D4-20;Google
D4-21;Meta
D4-22;Google
D4-23;OpenAI
D4-24;Google
D4-25;Human
D4-26;Google
D4-27;Google
D4-28;Meta
D4-29;Meta
D4-30;Meta
D4-31;Google
D4-32;Human
D4-33;Anthropic
D4-34;Human
D4-35;Google
D4-36;Human
D4-37;Google
D4-38;Human
D4-39;Meta
D4-40;Meta
D4-41;Google
D4-42;OpenAI
D4-43;Meta
D4-44;OpenAI
D4-45;Human
D4-46;Meta
D4-47;Google
D4-48;Google
D4-49;Human
D4-50;Meta
D4-51;OpenAI
D4-52;Google
D4-53;OpenAI
D4-54;Google
D4-55;Human
D4-56;Human
D4-57;OpenAI
D4-58;Google
D4-59;Anthropic
D4-60;Meta
D4-61;Human
D4-62;Google
D4-63;OpenAI
D4-64;Google
D4-65;Google
D4-66;Meta
D4-67;Google
D4-68;Human
D4-69;Meta
D4-70;Google
D4-71;Human
D4-72;OpenAI
D4-73;Google
D4-74;OpenAI
D4-75;Anthropic
D4-76;Meta
D4-77;OpenAI
D4-78;Anthropic
D4-79;Google
D4-80;OpenAI
D4-81;Meta
D4-82;Google
D4-83;Human
D4-84;OpenAI
D4-85;OpenAI
D4-86;OpenAI
D4-87;Meta
D4-88;Google
D4-89;Human
D4-90;Meta
D4-91;Anthropic
D4-92;Google
D4-93;Human
D4-94;OpenAI
D4-95;Meta
D4-96;Meta
D4-97;Google
D4-98;Google
D4-99;OpenAI
D4-100;Human
